"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1995-05-23",0.89,70,33742,NA,1.55
"1995-05-24",0.89,70,33742,NA,1.55
"1995-05-25",0.893,70,33742,NA,1.55
"1995-05-26",0.897,70,33742,NA,1.55
"1995-05-29",0.906,70,33742,NA,1.55
"1995-05-30",0.906,70,33742,NA,1.55
"1995-05-31",0.906,70,33742,NA,1.55
"1995-06-01",0.908,100,33512,NA,2.26
"1995-06-02",0.905,100,33512,NA,2.26
"1995-06-05",0.905,100,33512,NA,2.26
"1995-06-06",0.906,100,33512,NA,2.26
"1995-06-07",0.911,100,33512,NA,2.26
"1995-06-08",0.912,100,33512,NA,2.26
"1995-06-09",0.913,100,33512,NA,2.26
"1995-06-12",0.918,100,33512,NA,2.26
"1995-06-13",0.915,100,33512,NA,2.26
"1995-06-14",0.907,100,33512,NA,2.26
"1995-06-16",0.909,100,33512,NA,2.26
"1995-06-19",0.912,100,33512,NA,2.26
"1995-06-20",0.914,100,33512,NA,2.26
"1995-06-21",0.919,100,33512,NA,2.26
"1995-06-22",0.92,100,33512,NA,2.26
"1995-06-23",0.92,100,33512,NA,2.26
"1995-06-26",0.919,100,33512,NA,2.26
"1995-06-27",0.92,100,33512,NA,2.26
"1995-06-28",0.92,100,33512,NA,2.26
"1995-06-29",0.92,100,33512,NA,2.26
"1995-06-30",0.922,100,33512,NA,2.26
"1995-07-03",0.92,100,33512,NA,2.26
"1995-07-04",0.92,100,33512,NA,2.26
"1995-07-05",0.922,100,33512,NA,2.26
"1995-07-06",0.925,100,33512,NA,2.26
"1995-07-07",0.925,100,33512,NA,2.26
"1995-07-10",0.925,100,33512,NA,2.26
"1995-07-11",0.925,100,33512,NA,2.26
"1995-07-12",0.925,100,33512,NA,2.26
"1995-07-13",0.926,100,33512,NA,2.26
"1995-07-14",0.926,100,33512,NA,2.26
"1995-07-17",0.928,100,33512,NA,2.26
"1995-07-18",0.929,100,33512,NA,2.26
"1995-07-19",0.929,100,33512,NA,2.26
"1995-07-20",0.929,100,33512,NA,2.26
"1995-07-21",0.934,100,33512,NA,2.26
"1995-07-24",0.934,100,33512,NA,2.26
"1995-07-25",0.936,100,33512,NA,2.26
"1995-07-26",0.936,100,33512,NA,2.26
"1995-07-27",0.937,100,33512,NA,2.26
"1995-07-28",0.937,100,33512,NA,2.26
"1995-07-31",0.936,100,33512,NA,2.26
"1995-08-01",0.936,100,47660,NA,0.99
"1995-08-02",0.936,100,47660,NA,0.99
"1995-08-03",0.936,100,47660,NA,0.99
"1995-08-04",0.936,100,47660,NA,0.99
"1995-08-07",0.936,100,47660,NA,0.99
"1995-08-08",0.936,100,47660,NA,0.99
"1995-08-09",0.936,100,47660,NA,0.99
"1995-08-10",0.936,100,47660,NA,0.99
"1995-08-11",0.937,100,47660,NA,0.99
"1995-08-14",0.941,100,47660,NA,0.99
"1995-08-15",0.942,100,47660,NA,0.99
"1995-08-16",0.942,100,47660,NA,0.99
"1995-08-17",0.942,100,47660,NA,0.99
"1995-08-18",0.943,100,47660,NA,0.99
"1995-08-21",0.942,100,47660,NA,0.99
"1995-08-22",0.944,100,47660,NA,0.99
"1995-08-23",0.947,100,47660,NA,0.99
"1995-08-24",0.947,100,47660,NA,0.99
"1995-08-25",0.948,100,47660,NA,0.99
"1995-08-28",0.949,100,47660,NA,0.99
"1995-08-29",0.951,100,47660,NA,0.99
"1995-08-30",0.951,100,47660,NA,0.99
"1995-08-31",0.951,100,47660,NA,0.99
"1995-09-01",0.951,100,48713,NA,0.99
"1995-09-04",0.949,100,48713,NA,0.99
"1995-09-05",0.949,100,48713,NA,0.99
"1995-09-06",0.949,100,48713,NA,0.99
"1995-09-08",0.951,100,48713,NA,0.99
"1995-09-11",0.952,100,48713,NA,0.99
"1995-09-12",0.952,100,48713,NA,0.99
"1995-09-13",0.953,100,48713,NA,0.99
"1995-09-14",0.953,100,48713,NA,0.99
"1995-09-15",0.953,100,48713,NA,0.99
"1995-09-18",0.953,100,48713,NA,0.99
"1995-09-19",0.953,100,48713,NA,0.99
"1995-09-20",0.954,100,48713,NA,0.99
"1995-09-21",0.954,100,48713,NA,0.99
"1995-09-22",0.954,100,48713,NA,0.99
"1995-09-25",0.954,100,48713,NA,0.99
"1995-09-26",0.955,100,48713,NA,0.99
"1995-09-27",0.956,100,48713,NA,0.99
"1995-09-28",0.956,100,48713,NA,0.99
"1995-09-29",0.954,100,48713,NA,0.99
"1995-10-02",0.9555,100,48713,NA,0.99
"1995-10-03",0.9585,100,48713,NA,0.99
"1995-10-04",0.9585,100,48713,NA,0.99
"1995-10-05",0.9585,100,48713,NA,0.99
"1995-10-06",0.959,100,48713,NA,0.99
"1995-10-09",0.9585,100,48713,NA,0.99
"1995-10-10",0.9585,100,48713,NA,0.99
"1995-10-11",0.9585,100,48713,NA,0.99
"1995-10-13",0.9585,100,48713,NA,0.99
"1995-10-16",0.9585,100,48713,NA,0.99
"1995-10-17",0.9585,100,48713,NA,0.99
"1995-10-18",0.959,100,48713,NA,0.99
"1995-10-19",0.9593,100,48713,NA,0.99
"1995-10-20",0.9613,100,48713,NA,0.99
"1995-10-23",0.9615,100,48713,NA,0.99
"1995-10-24",0.9617,100,48713,NA,0.99
"1995-10-25",0.9617,100,48713,NA,0.99
"1995-10-26",0.962,100,48713,NA,0.99
"1995-10-27",0.9622,100,48713,NA,0.99
"1995-10-30",0.9617,100,48713,NA,0.99
"1995-10-31",0.9619,100,48713,NA,0.99
"1995-11-01",0.963,100,51257,NA,1.47
"1995-11-03",0.9627,100,51257,NA,1.47
"1995-11-06",0.9623,100,51257,NA,1.47
"1995-11-07",0.9618,100,51257,NA,1.47
"1995-11-08",0.9618,100,51257,NA,1.47
"1995-11-09",0.9617,100,51257,NA,1.47
"1995-11-10",0.9617,100,51257,NA,1.47
"1995-11-13",0.962,100,51257,NA,1.47
"1995-11-14",0.9628,100,51257,NA,1.47
"1995-11-16",0.9628,100,51257,NA,1.47
"1995-11-17",0.9624,100,51257,NA,1.47
"1995-11-20",0.9626,100,51257,NA,1.47
"1995-11-21",0.9639,100,51257,NA,1.47
"1995-11-22",0.9648,100,51257,NA,1.47
